base_mu_p,rho,char_height_px,n_pairs,paired_cov_char_acc,paired_corr_char_acc,paired_mean_delta,paired_std_delta,paired_win_rate,paired_tie_rate
23,1.0,8,50,0.011882838531511428,0.1276905965372453,-0.05454548,0.4041075874086938,0.4,0.16
27,0.1,8,50,0.00032982824160000004,0.10333301538494229,0.004242420000000002,0.07572904694250417,0.44,0.28
27,0.2,8,50,-0.0007765957602000001,-0.08025153874069949,0.09636355999999999,0.14841466955399948,0.72,0.08
27,0.3,8,50,-0.0014726123678314288,-0.04268477574025418,0.04727292,0.2740064055386252,0.68,0.04
27,0.4,8,50,-0.009544059386079181,-0.14561842047872028,0.05757585999999998,0.38793548494226227,0.52,0.1
27,0.5,8,50,-0.011053789119408984,-0.13056403302196212,0.027878879999999988,0.43822894496275455,0.42,0.24
27,0.6,8,50,0.006728515102041631,0.06626014550952246,-0.013939440000000004,0.4362732492470025,0.4,0.28
27,0.7,8,50,-0.0074991138366971456,-0.06560235505302672,-0.019393960000000005,0.4936115213007236,0.36,0.28
27,0.8,8,50,-0.00615805887595837,-0.05496104655387678,0.00545453999999999,0.48622622108225194,0.4,0.2
27,0.9,8,50,-0.002134898706173061,-0.02033514374378552,0.003030300000000008,0.462869764311833,0.42,0.2
27,1.0,8,50,-0.012635447896403256,-0.2142079066281628,0.0024242399999999955,0.37847691004450873,0.54,0.1
32,0.1,8,50,-5.247267479999995e-05,-0.011859620969230624,0.032727240000000005,0.09792347274724279,0.6,0.08
32,0.2,8,50,-0.0025434222432171427,-0.17613635395219732,0.13333328,0.1851881881360247,0.82,0.06
32,0.3,8,50,-0.004129584491284083,-0.06949083668629466,-0.013939080000000006,0.3633894258066901,0.48,0.14
32,0.4,8,50,0.004543388072562857,0.052319716023794344,0.03818192,0.40654926878842323,0.48,0.28
32,0.5,8,50,0.008979229994193875,0.09595198549544551,-0.01333336,0.41169558670205514,0.44,0.2
32,0.6,8,50,0.017548792469786127,0.17501811412869922,-0.07393946,0.4079917872677926,0.36,0.24
32,0.7,8,50,-0.00999495369090122,-0.09176633090135064,0.07515154,0.4880938701786866,0.48,0.2
32,0.8,8,50,-0.00234928758269388,-0.031250715397297714,0.0648485,0.3960039817923011,0.38,0.14
32,0.9,8,50,-0.008396399123706122,-0.13875673848090772,0.07636366,0.3809643003212366,0.54,0.12
32,1.0,8,50,0.00017615826539999995,0.057588526325917135,0.009696959999999998,0.07608209802627686,0.46,0.2
38,0.1,8,50,0.00011169183635999999,0.024637886267448783,0.04787874,0.09911235809615267,0.7,0.06
38,0.2,8,50,0.0038042822192142865,0.14984005493081387,0.07212131999999999,0.2191082490021621,0.7,0.04
38,0.3,8,50,-0.008386255942723264,-0.11530828980070512,0.03151531999999999,0.40563311707273164,0.52,0.1
